127.0.0.1 - - [05/Jun/2022:20:02:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /JspProject/index.jsp HTTP/1.1" 200 17347
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /JspProject/project/_res/knu/aisw/css/header.content0b7a.css?after HTTP/1.1" 200 5383
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /JspProject/bootstrap-5.1.3-dist/css/bootstrap.min.css HTTP/1.1" 200 163873
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /JspProject/project/_res/_common/css/cms.css HTTP/1.1" 200 5306
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /JspProject/project/_res/knu/_share/css/swiper.min.css HTTP/1.1" 200 19809
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /JspProject/project/_res/knu/_share/css/main-visual-temp08.widget03b3.css HTTP/1.1" 200 2790
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /JspProject/bootstrap-5.1.3-dist/jquery/jquery-3.6.0.slim.min.js HTTP/1.1" 200 87154
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /JspProject/bootstrap-5.1.3-dist/js/bootstrap.bundle.min.js HTTP/1.1" 200 78129
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /JspProject/project/_res/_common/js/jquery/jquery-2.2.4.min.js HTTP/1.1" 200 85580
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /JspProject/project/_res/knu/_share/img/common/img-logo.png HTTP/1.1" 200 2289
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /JspProject/project/_res/_common/js/cms.js HTTP/1.1" 200 508615
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /JspProject/project/_res/knu/_share/js/swiper.min.js HTTP/1.1" 200 128912
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /JspProject/project/_res/knu/_share/js/main-visual-temp08.widget03b3.js HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /JspProject/project/_res/knu/_share/js/board97c6.js HTTP/1.1" 404 881
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /JspProject/project/_res/knu/aisw/img/main/1.jpg HTTP/1.1" 200 1032286
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /JspProject/project/_res/knu/aisw/img/main/2.jpg HTTP/1.1" 200 558783
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /JspProject/project/_res/knu/_share/img/common/img-footer-logo.png HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /JspProject/project/_res/_common/css/define.min.css HTTP/1.1" 200 3975
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /JspProject/project/_res/_common/_plugin/froala-editor/latest/css/froala_style.min.css HTTP/1.1" 200 7214
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /JspProject/project/_res/_common/css/row-col.min.css HTTP/1.1" 200 9110
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /JspProject/project/_res/knu/_share/img/temp08/btn-vi-prev.png HTTP/1.1" 200 1324
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /JspProject/project/_res/knu/_share/img/temp08/btn-vi-next.png HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:02:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:03:00 +0900] "GET /JspProject/bootstrap-5.1.3-dist/css/bootstrap.min.css.map HTTP/1.1" 200 451427
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:05:06 +0900] "GET /JspProject/index.jsp HTTP/1.1" 200 21732
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:05:07 +0900] "GET /JspProject/project/_res/knu/_share/js/board97c6.js HTTP/1.1" 404 881
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:05:07 +0900] "GET /JspProject/project/_res/knu/_share/css/announcement-mini-board-template-08-representative.widget1270.css HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:05:07 +0900] "GET /JspProject/project/_res/knu/aisw/css/main-content01.content7204.css HTTP/1.1" 200 3400
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:05:07 +0900] "GET /JspProject/project/_res/knu/aisw/css/main3d9d.css HTTP/1.1" 200 1413
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:05:07 +0900] "GET /JspProject/project/_res/knu/aisw/js/main-content01.content7204.js HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:05:07 +0900] "GET /JspProject/bootstrap-5.1.3-dist/css/bootstrap.min.css.map HTTP/1.1" 200 451427
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:05:07 +0900] "GET /JspProject/project/_res/knu/aisw/img/main/btn-more.png HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:05:09 +0900] "GET /JspProject/index.jsp HTTP/1.1" 200 21732
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:05:09 +0900] "GET /JspProject/project/_res/knu/_share/js/board97c6.js HTTP/1.1" 404 881
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:05:09 +0900] "GET /JspProject/bootstrap-5.1.3-dist/css/bootstrap.min.css.map HTTP/1.1" 200 451427
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:05:11 +0900] "GET /JspProject/index.jsp HTTP/1.1" 200 21732
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:05:11 +0900] "GET /JspProject/project/_res/knu/_share/js/board97c6.js HTTP/1.1" 404 881
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:05:11 +0900] "GET /JspProject/bootstrap-5.1.3-dist/css/bootstrap.min.css.map HTTP/1.1" 200 451427
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:07:19 +0900] "GET /JspProject/index.jsp HTTP/1.1" 500 2626
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:07:21 +0900] "GET /JspProject/index.jsp HTTP/1.1" 200 21732
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:07:21 +0900] "GET /JspProject/project/_res/knu/_share/js/board97c6.js HTTP/1.1" 404 881
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:07:21 +0900] "GET /JspProject/bootstrap-5.1.3-dist/css/bootstrap.min.css.map HTTP/1.1" 200 451427
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:07:23 +0900] "GET /JspProject/index.jsp HTTP/1.1" 500 2626
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:07:24 +0900] "GET /JspProject/index.jsp HTTP/1.1" 200 21732
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:07:24 +0900] "GET /JspProject/project/_res/knu/_share/js/board97c6.js HTTP/1.1" 404 881
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:07:24 +0900] "GET /JspProject/bootstrap-5.1.3-dist/css/bootstrap.min.css.map HTTP/1.1" 200 451427
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:07:50 +0900] "GET /JspProject/index.jsp HTTP/1.1" 200 21732
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:07:50 +0900] "GET /JspProject/project/_res/knu/_share/js/board97c6.js HTTP/1.1" 404 881
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:07:50 +0900] "GET /JspProject/bootstrap-5.1.3-dist/css/bootstrap.min.css.map HTTP/1.1" 200 451427
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:09:59 +0900] "GET /JspProject/index.jsp HTTP/1.1" 200 21732
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:09:59 +0900] "GET /JspProject/project/_res/knu/_share/js/board0472.js HTTP/1.1" 200 13419
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:09:59 +0900] "GET /JspProject/bootstrap-5.1.3-dist/css/bootstrap.min.css.map HTTP/1.1" 200 451427
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:10:05 +0900] "GET /JspProject/index.jsp HTTP/1.1" 200 21732
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:10:06 +0900] "GET /JspProject/bootstrap-5.1.3-dist/css/bootstrap.min.css.map HTTP/1.1" 200 451427
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:10:34 +0900] "GET /JspProject/index.jsp HTTP/1.1" 200 21842
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:10:34 +0900] "GET /JspProject/bootstrap-5.1.3-dist/css/bootstrap.min.css.map HTTP/1.1" 200 451427
0:0:0:0:0:0:0:1 - - [05/Jun/2022:20:10:37 +0900] "GET /JspProject/index.jsp HTTP/1.1" 200 21842
