date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:56	50690/50690	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Apr%202022%2007:07:54%20GMT	https://aisw.kangwon.ac.kr/aisw/index.do	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/index.html	(from )
16:07:56	0/0	---M--	200	added ('OK')	text/plain	etag:W/%220-1639556639000%22	https://aisw.kangwon.ac.kr/robots.txt		(from )
16:07:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2002%20Apr%202022%2007:07:55%20GMT	http://cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.1.delayed	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:07:57	36216/36216	---M-Z	200	added ('OK')	text/css	etag:W/%228d78-PbmlkAY03FYSFMaA5teYyx8nbiI%22	https://cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:07:57	5230/5230	---M--	200	added ('OK')	text/css	etag:W/%225230-1635505571000%22	https://aisw.kangwon.ac.kr/_res/_common/css/cms.css	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/_common/css/cms.css	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:07:57	19798/19798	---M--	200	added ('OK')	text/css	etag:W/%2219798-1607913460000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/css/swiper.min.css	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/_share/css/swiper.min.css	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:07:57	3480/3480	---M--	200	added ('OK')	text/css	etag:W/%223480-1606350655000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/css/scroll.css	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/_share/css/scroll.css	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:07:58	2616/2616	---M--	200	added ('OK')	text/css	etag:W/%222616-1645507556000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/css/cms-common.css?66641	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/_share/css/cms-commonb50f.css	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:07:58	2741/2741	---M--	200	added ('OK')	text/css	etag:W/%222741-1629426038000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/css/main-visual-temp08.widget.css?26038	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/_share/css/main-visual-temp08.widget03b3.css	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:07:58	3276/3276	---M--	200	added ('OK')	text/css	etag:W/%223276-1624514022000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/css/footer-default.widget.css?14022	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/_share/css/footer-default.widget87c5.css	(from https://aisw.kangwon.ac.kr/aisw/index.do)
